sentiment,text,user
neutral,Like a tarantula will be crawling along a table when one'a those teensy jumping spiders runs by and she's like OH GROSS SOMEONE GET A TISSUE,calamityjon
positive,Tarantula spiders can live up to 40 years,SuprisingFact
positive,Check out the new video: Snack Pots &amp; Spiders! https://t.co/woHIEYR0Pq,tarantula_cave
neutral,"RT @strawberry_az: Big Spiders in Strawberry, AZ #tarantula _Ù¥á https://t.co/u5nnRYko4k",LyndonEvansCT
neutral,"RT @strawberry_az: Big Spiders in Strawberry, AZ #tarantula _Ù¥á https://t.co/u5nnRYko4k",flutterbyflower
positive,"@Flickr users can stop posting pictures of toys and spiders any time now... No, seriously. I don't need to see another #Lego or #tarantula",bruceruns2
neutral,"RT @strawberry_az: Big Spiders in Strawberry, AZ #tarantula _Ù¥á https://t.co/u5nnRYko4k",LoveTarantulas
neutral,"RT @strawberry_az: Big Spiders in Strawberry, AZ #tarantula _Ù¥á https://t.co/u5nnRYko4k",yinzinthevots
neutral,"Big Spiders in Strawberry, AZ #tarantula _Ù¥á https://t.co/u5nnRYko4k",strawberry_az
neutral,Faced my fears of spiders yesterday &amp; picked up the tarantula all by myself! _Ù¥á_Ù÷µ #LL5th #scaredteacher‰Û_ https://t.co/cw3rkgMHrz,MrsParker5th
negative,Just went to put my shoes on to find a massive tarantula on my foot actually want to die...wish these spiders would fuck off,ezbowmaker
negative,@MitchBenn At least they aren't tarantula sized spiders....,Xenaclone
negative,RT @Cecillama: Told Karla I‰Ûªm afraid of spiders and she really trynna get me to pet a tarantula https://t.co/VDQYg1cwNg,Karlandiaaa
negative,Told Karla I‰Ûªm afraid of spiders and she really trynna get me to pet a tarantula https://t.co/VDQYg1cwNg,Cecillama
negative,I told this guy that I hate spiders and he replied by sending me a gif of a fucking tarantula wtf,_Caaroooliiinaa
negative,@Chris_J_Kemp @UChicagoPress I will...it‰Ûªs hard to resist stories about Lightning Cockroaches and Atomic Tarantula Spiders!,gkiely
neutral,"Find the tarantula, she always hovers her water dish. Spiders rock https://t.co/1DfsVID4bL",FeliciaMae2007
positive,My pink toed tarantula finally came out of hiding. I love my spiders https://t.co/nDYAulWx61,FeliciaMae2007
positive,"So Bobby hates spiders, and some one on my snap had a tarantula on their story. Obviously I sent it to Bobby.... lol he dropped his phone",Jmutt23
positive,RT @LoveTarantulas: Girl shares fun pics of pet tarantula to help people with spider fear https://t.co/iJFu3RJBfp via @MailOnline https://t‰Û_,charmyknux
positive,RT @LoveTarantulas: Girl shares fun pics of pet tarantula to help people with spider fear https://t.co/iJFu3RJBfp via @MailOnline https://t‰Û_,TheSpiderShop
positive,Girl shares fun pics of pet tarantula to help people with spider fear https://t.co/iJFu3RJBfp via @MailOnline https://t.co/TKebr9UB3V,LoveTarantulas
negative,RT @bearobson: I BOUGHT SOME FAKE SPIDERS TO SCARE MY HOUSEMATES N I PLAYED MYSELF BC I FORGOT N JUST JUMPED OUT MY SKIN AT WHAT I THOUGHT‰Û_,a_shamblesrlly
negative,RT @bearobson: I BOUGHT SOME FAKE SPIDERS TO SCARE MY HOUSEMATES N I PLAYED MYSELF BC I FORGOT N JUST JUMPED OUT MY SKIN AT WHAT I THOUGHT‰Û_,Theaindiax
neutral,@AliWatkins Who kills spiders?  They are our friends. Ask the tarantula on my face _Ù÷_,askthebugman
neutral,"RT @NHM_London: Meet the wasp whose #Venom makes even the biggest, hairiest of spiders run away in terror: the tarantula hawk https://t.co/‰Û_",BioBurbler
neutral,"\What do you call it when the sky rains spiders?\""\n-\n-\n-\n-\n*Jeopardy theme*\n-\n-\n-\n-\n\""A tarantula downpour.\"" #PunPatrol""",SpiderBeat
positive,RT @sdamned: #inktober2017 Day 1: spider + tulip. (I know spiders aren't monsters; I got too focused on using a cute red knee tarantula as‰Û_,LyonsRawrs
neutral,A houseguest #tarantula #spideysense #spiders #arachniphobia https://t.co/PdxBr6N73v,LaurieStevens1
positive,RT @sdamned: #inktober2017 Day 1: spider + tulip. (I know spiders aren't monsters; I got too focused on using a cute red knee tarantula as‰Û_,JonTalbain2015
negative,I BOUGHT SOME FAKE SPIDERS TO SCARE MY HOUSEMATES N I PLAYED MYSELF BC I FORGOT N JUST JUMPED OUT MY SKIN AT WHAT I THOUGHT WAS A TARANTULA,bearobson
neutral,"I have a sixth sense for spiders, I'm telling you. Knew to not turn my lamp off, minutes later, tarantula comes up from the side of my bed!",BeckyyyDeee
positive,RT @ReptileExpo_ca: These cool metallic looking spiders are called aåÊDolichothele diamantinensis or aåÊBrazilian Blue Dwarf Beauty Tarantula‰Û_,1930s_were_raw
negative,Tarantula spiders can survive 2 and a half years without food #facts,SuckerIO
positive,These cool metallic looking spiders are called aåÊDolichothele diamantinensis or aåÊBrazilian Blue Dwarf Beauty Taran‰Û_ https://t.co/a4fXwGJVAC,ReptileExpo_ca
neutral,‹â¢‹Ä_‹â_‹Ä_‹ÄĞ‹Ä©‹ÄÄ‹âø‹Äª‹ÄÇ‹Äª‹ÄÄ‹Äö(Acanthoscurria musculosa) https://t.co/tpsIFPSJ15,tarantula_pic
neutral,"@MikeCocking I assume that's some sort of tarantula. I like spiders, snakes and jellyfish. Will pick up all three,‰Û_ https://t.co/DW1OxDMFNl",IanAndrewGolf
positive,RT @sdamned: #inktober2017 Day 1: spider + tulip. (I know spiders aren't monsters; I got too focused on using a cute red knee tarantula as‰Û_,enistoja
positive,RT @sdamned: #inktober2017 Day 1: spider + tulip. (I know spiders aren't monsters; I got too focused on using a cute red knee tarantula as‰Û_,CioGalt
positive,RT @sdamned: #inktober2017 Day 1: spider + tulip. (I know spiders aren't monsters; I got too focused on using a cute red knee tarantula as‰Û_,TheHappyLeopard
neutral,‹â_‹Ä‹ÄÇ‹Äö‹ÄÂ‹ÄÄ‹Ää‹Ä©‹Ä_‹ÄÑ(Thrixopelma cyaneum)\nhttps://t.co/3DAn4Pu1DL,tarantula_pic
positive,RT @sdamned: #inktober2017 Day 1: spider + tulip. (I know spiders aren't monsters; I got too focused on using a cute red knee tarantula as‰Û_,stephanieZUPPO
negative,Your Weekly Weather Report: Some people believe early migrations of tarantula spiders may mean a wet winter.‰Û_ https://t.co/4h8Ul6j9La,HanfordSentinel
positive,RT @sdamned: #inktober2017 Day 1: spider + tulip. (I know spiders aren't monsters; I got too focused on using a cute red knee tarantula as‰Û_,sotnsot
positive,I am litro scared to sleep at night just in case them 'house' tarantula sized spiders eat me alive,carlssmithx
positive,RT @sdamned: #inktober2017 Day 1: spider + tulip. (I know spiders aren't monsters; I got too focused on using a cute red knee tarantula as‰Û_,RedRetroRobot
positive,RT @sdamned: #inktober2017 Day 1: spider + tulip. (I know spiders aren't monsters; I got too focused on using a cute red knee tarantula as‰Û_,geradexacondari
positive,RT @sdamned: #inktober2017 Day 1: spider + tulip. (I know spiders aren't monsters; I got too focused on using a cute red knee tarantula as‰Û_,LighthouseHut
positive,#inktober2017 Day 1: spider + tulip. (I know spiders aren't monsters; I got too focused on using a cute red knee ta‰Û_ https://t.co/Y0rEQiNMHO,sdamned
positive,"i just watched a really cute spider vid, and now i want a pet tarantula... ive been terrified of spiders my whole life, what is happening.",Madisonmcleod14
negative,RT @HeyyBigNose: @KiitaKat @brensshh Twisted Pictures presents\nSpiders on a plane _ÙÔÛ_Ù¥á_Ù¥á_Ù¥á_Ùİ©\nRelease date: 10/03/17\nProducer: Tarantula Works\nFi‰Û_,KiitaKat
negative,RT @HeyyBigNose: @KiitaKat @brensshh Twisted Pictures presents\nSpiders on a plane _ÙÔÛ_Ù¥á_Ù¥á_Ù¥á_Ùİ©\nRelease date: 10/03/17\nProducer: Tarantula Works\nFi‰Û_,Little_Pistol_
negative,@KiitaKat @brensshh Twisted Pictures presents\nSpiders on a plane _ÙÔÛ_Ù¥á_Ù¥á_Ù¥á_Ùİ©\nRelease date: 10/03/17\nProducer: Tarantula Works\nFilmed in: England,HeyyBigNose
neutral,Y'all. I do not like spiders. there is a woman with a tarantula on my TL. The scream I almost let out....lord.,BlvckBvbe
positive,Happy beginning of #Arachtober ! #spiders #tarantula #latenightsnack https://t.co/L1S7AKzNrB,MaratusDownen
negative,Just stepped on a fucking tarantula while walking into my room. Excuse me while I burn my house down _Ù÷__Ù÷__Ù÷__Ù÷_ I hate spiders,jordanxokay
positive,@Big_Al_10 @Tark_the_Shark Interesting take there. I'm scared of spiders but would like to think the I'd help someo‰Û_ https://t.co/BkM65L3bOc,BartOnYourFace
negative,I got over my fear of spiders when I tried to hold a tarantula and it ran away from me because my hands were cold,intoxikatieing
neutral,@ShellyKOAT Spiders are our friends.  Ask the tarantula on my face _Ù÷_,askthebugman
neutral,\If I had the choice to run her over or a tarantula I'd choose the spider," I don't even like spiders\"" @alexiss_pearl"""
negative,realistic-gothic-tarantula-spider-temporary-fake-tattoos-makeup-creepy-halloween https://t.co/SOEBjocKwe,HorrorHallProps
negative,What the fuck is with the tarantula sized spiders? Me no likey _Ù÷__Ù÷__Ù÷_,AndiInTheCity
negative,"RT @emT3i: Hey, #Halloween! What's so scary about spiders? Curlyhair tarantula (Brachypelma albopilosum) in my hands at the @HarvardMuseum.‰Û_",HarvardMuseum
negative,"Hey, #Halloween! What's so scary about spiders? Curlyhair tarantula (Brachypelma albopilosum) in my hands at the‰Û_ https://t.co/Nn0VYvBaaX",rmmEaT3i
positive,spiders live in my shower. also one time a tarantula wandered in thru my front door,sweetydeity
neutral,"Giant, tarantula size spiders keep trying to take over my home _Ùªö_Ù÷© #petrified",cwhat82
neutral,"Observing, some arachnids do indeed \Whistle.\"" And so ‰Û_ : Tarantula or Whistling Spiders - Queensland Museum - https://t.co/XDSmBWSuL5""",spchamp
neutral,RT @Dax_x98: My #Tarantula Bogee Died _Ù÷¢ _Ù¥á_Ù¥ü #spiders #Animals #BigAssSpider #Spiderman https://t.co/gsbkV48NKB,Diamondjack444
neutral,My #Tarantula Bogee Died _Ù÷¢ _Ù¥á_Ù¥ü #spiders #Animals #BigAssSpider #Spiderman https://t.co/gsbkV48NKB,Dax_x98
positive,My Tarantula Collection - Great Beginner Spiders! Watch in HQ https://t.co/OdMiq1qs85 via @YouTube,MH_Roon
positive,gonna get a pet tarantula and train it to commit butterfly genocide because the kind of creeps that like butterflies prolly kill spiders...,alanananabatman
negative,god i hate spiders and the biggest spider in the world is a Goliath birdeater tarantula and I'm looking at pictures of it,SleepingConor
positive,Chad perfectly describes the differences between spiders and kittens. #truth #spidersarescary #kittens #caturday‰Û_ https://t.co/mHZYlJmDC0,sdk09
neutral,The amount of spiders and baby tarantula‰Ûªs in my shed is giving me anxiety I swear _Ù÷_ _Ù¥á,IBeStacey
negative,@ruth_clark No tarantulas but loads of other spiders! We saw a tarantula nest but it was empty!,em_luxton
positive,Taking everything out my room and hoovering it from top to bottom these spiders are a JOKE it's a tarantula every night now apparently_Ù÷__Ù÷__Ù÷_,KatrinaMckenz16
neutral,What is it with me and spiders? Another tarantula crawling across the sofa while I'm sitting there _Ù÷±_Ù÷±_Ù÷± https://t.co/XJCVCYxS1Q,The_Josiekitten
neutral,A gf once figured out I was terrified of spiders. She taunted me with a tarantula skin. So I bought 43 tarantulas &amp; gtf over my fear.,I_like_Whites
positive,@sourwolfmalec Bleeegh\nI can't believe I once willingly held my mother's tarantula\nI abhor spiders \n_Ù÷¡_Ù÷µ_Ù÷á_Ù÷Ò,ConeyIsleBlitz
positive,@Koyonala I want to own a tarantula but other spiders scare me lol,Gamer_Of_Hope_
positive,"RT @DrRichJP: Spider feet are fascinating. This tarantula foot shows subtle colours, delicacy &amp; neat little claws. Watch how spiders use th‰Û_",bittertx
positive,"RT @DrRichJP: Spider feet are fascinating. This tarantula foot shows subtle colours, delicacy &amp; neat little claws. Watch how spiders use th‰Û_",_ChrisOk
negative,"I hate spiders but fucc, that tarantula didn't deserve that",MyLocksFlop
negative,... COULDN'T sleep because they feared GETTING attacked by COW SPIDERS!! Tarantula Cows!!! _Ù÷_ _Ù÷_ Or whatever you want to call them! OMG now...,Eri_Mandarian
neutral,"jacobs mom knows how terrified i am of spiders, so she sent me a video of a tarantula crawling out of someone‰Ûªs mouth... oh hell no _ÙªÄ",alexissheppard_
