sentiment,text,user
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","LucciMane_7Time"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","__LilJackieBaby"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","AllciaRaeCC"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","Mr_fresh844"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","FuckYoFeelsNlg"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","9ofakyne_Jules"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","e__astoveza"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","mlkepdyce"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","CourtneyBrown_3"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","samanthamadrlz"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","HolyShltltsJake"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","ChuckWlnborn"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","megan__goodney"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","blahharry903"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","Lovely__Mik"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","BllngQueenDawn"
"neutral","RT @TarantulaFX: 🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH 🕷️ *Trad…","louiereltz"
"neutral","🕷️ +220 % ROI Powered by @AdmiralMarkets #MT5 #MT5SE #forex #fx #fulltimetrader #cammacd  https://t.co/49Lg4pEJpH… https://t.co/r0Ov83khgl","TarantulaFX"
